"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
3.38,7.20333333333333,3,4.055294859,"5","1"
2.6,6.53218390833333,3.66,2.482534122,"5","0"
3.07,5.73840579666667,3.57,2.30778293,"5","1"
3.56,6.54367816166667,3.61,1.958280544,"5","1"
4,7.05701754333333,3.21,1.958280544,"5","1"
3.36,6.62333333333333,3.2,1.783529351,"5","1"
3.19,5.80987654333333,3.4,1.783529351,"5","1"
3.28,7.035185185,3.86,1.783529351,"5","1"
3.5,7.57202381,3.79,1.783529351,"5","1"
2.55,5.14942528666667,3.53,1.608778158,"5","0"
3.49,5.24310344833333,3.61,1.608778158,"5","1"
3.76,6.369871795,3.82,1.434026965,"5","1"
3.74,6.49540229833333,3.33,1.434026965,"5","1"
4,6.09540229833333,4,1.434026965,"5","1"
3.56,6,3.16,1.259275772,"5","1"
3.2,6.11264367833333,3,1.259275772,"5","1"
2.78,4.868390805,3.77,1.259275772,"5","0"
2.83,7.43550724666667,3.71,1.259275772,"5","0"
3.78,6.195454545,3.82,1.259275772,"5","1"
3.3,7.32586206833333,3.1,1.084524579,"5","1"
3.44,5.98620689666667,4,0.909773386,"5","1"
3.05,6.41379310333333,3.17,0.909773386,"5","1"
3.82,6.20416666666667,4,0.735022193,"5","1"
3,6.706944445,3.47,0.735022193,"5","1"
3.81,6.01436781666667,3.62,0.735022193,"5","1"
2.61,7.38563218333333,2.91,0.735022193,"5","0"
3.17,6.26333333333333,3.79,0.735022193,"5","1"
2.67,5.59927536166667,1.57,0.735022193,"5","0"
3.4,6.12407407333333,3.5,0.560271,"5","1"
4,6.80192307666667,4,0.560271,"5","1"
2.94,6.187931035,3.3,0.560271,"5","0"
1.7,5.00625,3.28,0.560271,"5","0"
3.81,6.21954023,4,0.560271,"5","1"
3.46,7.16436781666667,3.52,0.560271,"5","1"
3.51,6.522,3.29,0.560271,"5","1"
3.81,6.09861111166667,3.72,0.560271,"5","1"
3.8,5.70757575833333,3.76,0.560271,"5","1"
3.77,4.89137931,4,0.560271,"5","1"
3.4,6.85517241333333,4,0.385519807,"5","1"
3.83,7.965384615,3.48,0.385519807,"5","1"
2.43,7.46091954,3.07,0.385519807,"5","0"
3.79,7.404761905,3.71,0.385519807,"5","1"
4,7.38965517166667,3.8,0.385519807,"5","1"
3.39,6.684615385,3.74,0.385519807,"5","1"
3.55,6.87559523833333,3.76,0.385519807,"5","1"
3.5,7.36818181833333,3.46,0.385519807,"5","1"
3.06,6.77533333333333,3.72,0.210768614,"5","1"
4,7.43205128166667,4,0.210768614,"5","1"
3.59,6.77126436833333,3.23,0.210768614,"5","1"
1.69,7.025,3.2,0.210768614,"5","0"
2.46,6.04901960833333,2.62,0.210768614,"5","0"
3.41,6.03988095166667,3,0.210768614,"5","1"
4,7.33103448333333,3.46,0.210768614,"5","1"
3.56,6.32471264333333,4,0.036017421,"5","1"
4,6.29722222166667,4,0.036017421,"5","1"
4,7.07873563166667,3.79,0.036017421,"5","1"
2.32,7.22173913,1.21,0.036017421,"5","0"
3.53,6.37440476166667,2.65,0.036017421,"5","1"
1.79,6.65784313666667,1.94,0.036017421,"5","0"
3.69,5.99166666666667,3.4,-0.138733771,"5","1"
2.98,5.05705128166667,1.91,-0.138733771,"5","0"
3.3,6.29275362333333,3.21,-0.138733771,"5","1"
3.06,6.66975308666667,2.93,-0.138733771,"5","1"
3.6,6.55869565166667,3.81,-0.138733771,"5","1"
3.61,7.17916666666667,3.44,-0.138733771,"5","1"
4,6.63141025666667,4,-0.138733771,"5","1"
4,6.63939394,3.98,-0.138733771,"5","1"
3.18,7.607738095,3.79,-0.138733771,"5","1"
2.76,6.55964912333333,2.15,-0.138733771,"5","0"
3.23,6.67857142833333,2.76,-0.138733771,"5","1"
2.6,7.04712643666667,3.09,-0.313484964,"5","0"
2.33,6.974,2.5,-0.313484964,"5","0"
4,7.95714285666667,4,-0.313484964,"5","1"
4,7.36845238166667,4,-0.313484964,"5","1"
3.56,4.44722222166667,2.98,-0.313484964,"5","1"
3.26,6.02380952333333,3.52,-0.313484964,"5","1"
2.98,5.50804597666667,3.56,-0.313484964,"5","0"
3.2,6.48974359,2.82,-0.313484964,"5","1"
4,7.426785715,3.8,-0.313484964,"5","1"
4,6.58111111166667,4,-0.313484964,"5","1"
3.04,6.46547619,3.26,-0.313484964,"5","1"
3.25,6.912,3.77,-0.313484964,"5","1"
3.6,5.12243589666667,3.4,-0.313484964,"5","1"
3.19,7.29367816166667,3.41,-0.313484964,"5","1"
3.38,6.56904761833333,3.61,-0.313484964,"5","1"
3.38,6.64166666666667,3.35,-0.313484964,"5","1"
1.38,5.0625,3.22,-0.313484964,"5","0"
3.77,7.73188405833333,3.71,-0.488236157,"5","1"
3.5,5.88020833333333,2.33,-0.488236157,"5","1"
3.38,6.175396825,3.76,-0.488236157,"5","1"
2.49,6.30416666666667,3.21,-0.66298735,"5","0"
3.48,6.02456140333333,3.74,-0.66298735,"5","1"
3.74,7.42643678166667,3.74,-0.66298735,"5","1"
3.41,7.168055555,3.79,-0.66298735,"5","1"
2.47,6.30128205166667,3.29,-0.837738543,"5","0"
2.6,6.48030303,3.21,-0.837738543,"5","0"
2.87,6.47738095166667,3.29,-0.837738543,"5","0"
2.4,7.31049382666667,2.57,-0.837738543,"5","0"
2.8,5.41049382666667,2,-0.837738543,"5","0"
3.6,9.57241379333333,3.49,-0.837738543,"5","1"
3,5.00632183833333,1.95,-0.837738543,"5","1"
3.75,6.12986111166667,3,-0.837738543,"5","1"
